,business_id,name,stars,state,review_count
0,uGykseHzyS5xAMWoN6YUqA,Deforest Family Restaurant,4.0,WI,16
1,LRKJF43s9-3jG9Lgx4zODg,Culver's,4.5,WI,7
2,RgDg-k9S5YD_BaxMckifkg,Chang Jiang Chinese Kitchen,4.0,WI,3
3,rdAdANPNOcvUtoFgcaY9KA,Green Lantern Restaurant,3.5,WI,33
4,_wZTYYL7cutanzAnJUTGMA,Beach House Restaurant & Lounge,3.5,WI,31
5,zOc8lbjViUZajbY7M0aUCQ,Spartan Pizza,3.5,WI,4
6,UgjVZTSOaYoEvws_lAP_Dw,Main Moon Chinese Restaurant,3.5,WI,8
7,SKLw05kEIlZcpTD5pqma8Q,Imperial Garden Chinese Restaurant,3.0,WI,41
8,77ESrCo7hQ96VpCWWdvoxg,Mi Cocina,3.0,WI,17
9,KTqNU4plO23583DYAMGXYg,Domino's Pizza,3.0,WI,3
10,MKsb2VpLB-0UBODcInDsSw,China Wok Buffet,2.5,WI,12
11,ShEYKerTwb2LSORE5o_s7A,Prairie Cafe & Bakery,3.5,WI,38
12,HaBkx5PwvbBpQ2iNCgHnVQ,Paul's Neighborhood Bar,3.5,WI,11
13,KW6HejC-67KSL9J8Cz1dSw,Chin's Asia Fresh,3.0,WI,28
14,wl-7A4jC0f27MOEmW-XTbQ,Grand China Restaurant,3.0,WI,6
15,suQyHycqv8nA7EualcUB3g,Dennys,3.0,WI,5
16,uga5g16PncJOtY7Sc3A05w,McDonald's,4.0,WI,6
17,xbJ9tdGbcVJIUkNgHSCwZQ,Hody Bar & Grill,2.5,WI,10
18,koRLvzIl-4fCybOIdk56jA,Louisianne's Etc,4.0,WI,56
19,cruBFtsFaBuhX_I72uU8pA,Papa John's Pizza,1.5,WI,3
20,X47o6R2rWiqGqvBtC7VS3Q,Three Sisters Old Town Inn,4.0,WI,19
21,lN-5-YTsaJr_IByyA476iw,Middleton Sport Bowl,4.0,WI,10
22,IEmqrFe96NOhU07TA0rZdw,Stamm House At Pheasant Branch,2.0,WI,7
23,KFJ1jBfFkRfyn3AoAUl3YQ,Hardee's,4.0,WI,5
24,G1qUGBNYNS220jKlPAlFsA,The Village Green Bar & Grill,4.0,WI,34
25,6oDZ78JiSKjXVLcurCpnhw,Nitty Gritty Restaurant & Bar,3.0,WI,16
26,kiAsweI4sOjDzGyz3Y_HsQ,Culver's,4.5,WI,12
27,q8fD82us6uuGufvI44NoAg,Vin Santo,4.0,WI,53
28,Nj0vQjUYjaa7qbvZlEr2jQ,Club Tavern & Grille,2.5,WI,16
29,B0Vuwn6Hugc-0U5n31YBfg,C's Restaurant Bakery and Coffee Shop,4.0,WI,15
30,3zD6rxB92Mr0jb-LoYFFWw,Burger King,1.5,WI,14
31,OC8AUJshLVimn_-P_INvJw,Pizza Pit,2.5,WI,4
32,2pmMehsVKnwhgWPSOxrkjA,Panda Garden,4.0,WI,8
33,NDAxF0_RCZBQedVO_d5WnA,Chang Jiang,3.0,WI,9
34,eptljN50_4BpIwc2Op_A_A,Deli Roma,4.0,WI,20
35,5uxhIGZlJm9g_zfG_83z5Q,Peking Chinese Restaurant,3.0,WI,6
36,yV-eB-pQVeWE7W-WPC8BUg,Prairie Diner,4.5,WI,9
37,unMqU0OrlniCOKZIoQHb0A,Kfc,1.0,WI,3
38,RIsEPpt2jM7c_Ko_CyLwMw,Dairy Queen,4.0,WI,4
