,cousine,business_id
0,American (Traditional),uGykseHzyS5xAMWoN6YUqA
1,Food,LRKJF43s9-3jG9Lgx4zODg
2,Ice Cream & Frozen Yogurt,LRKJF43s9-3jG9Lgx4zODg
3,Fast Food,LRKJF43s9-3jG9Lgx4zODg
4,Chinese,RgDg-k9S5YD_BaxMckifkg
5,American (Traditional),rdAdANPNOcvUtoFgcaY9KA
6,Bars,_wZTYYL7cutanzAnJUTGMA
7,American (Traditional),_wZTYYL7cutanzAnJUTGMA
8,Nightlife,_wZTYYL7cutanzAnJUTGMA
9,Lounges,_wZTYYL7cutanzAnJUTGMA
10,Pizza,zOc8lbjViUZajbY7M0aUCQ
11,Chinese,UgjVZTSOaYoEvws_lAP_Dw
12,Party & Event Planning,SKLw05kEIlZcpTD5pqma8Q
13,Asian Fusion,SKLw05kEIlZcpTD5pqma8Q
14,Event Planning & Services,SKLw05kEIlZcpTD5pqma8Q
15,Venues & Event Spaces,SKLw05kEIlZcpTD5pqma8Q
16,Mexican,77ESrCo7hQ96VpCWWdvoxg
17,Sandwiches,KTqNU4plO23583DYAMGXYg
18,Pizza,KTqNU4plO23583DYAMGXYg
19,Chicken Wings,KTqNU4plO23583DYAMGXYg
20,Chinese,MKsb2VpLB-0UBODcInDsSw
21,Bakeries,ShEYKerTwb2LSORE5o_s7A
22,Food,ShEYKerTwb2LSORE5o_s7A
23,Breakfast & Brunch,ShEYKerTwb2LSORE5o_s7A
24,Coffee & Tea,ShEYKerTwb2LSORE5o_s7A
25,Bars,HaBkx5PwvbBpQ2iNCgHnVQ
26,American (New),HaBkx5PwvbBpQ2iNCgHnVQ
27,Nightlife,HaBkx5PwvbBpQ2iNCgHnVQ
28,Chinese,KW6HejC-67KSL9J8Cz1dSw
29,Chinese,wl-7A4jC0f27MOEmW-XTbQ
30,Diners,suQyHycqv8nA7EualcUB3g
31,Burgers,uga5g16PncJOtY7Sc3A05w
32,Fast Food,uga5g16PncJOtY7Sc3A05w
33,Bars,xbJ9tdGbcVJIUkNgHSCwZQ
34,Nightlife,xbJ9tdGbcVJIUkNgHSCwZQ
35,Cajun/Creole,koRLvzIl-4fCybOIdk56jA
36,Pizza,cruBFtsFaBuhX_I72uU8pA
37,Breakfast & Brunch,X47o6R2rWiqGqvBtC7VS3Q
38,Active Life,lN-5-YTsaJr_IByyA476iw
39,Bowling,lN-5-YTsaJr_IByyA476iw
40,American (Traditional),IEmqrFe96NOhU07TA0rZdw
41,Burgers,KFJ1jBfFkRfyn3AoAUl3YQ
42,Fast Food,KFJ1jBfFkRfyn3AoAUl3YQ
43,Bars,G1qUGBNYNS220jKlPAlFsA
44,American (Traditional),G1qUGBNYNS220jKlPAlFsA
45,Nightlife,G1qUGBNYNS220jKlPAlFsA
46,American (Traditional),6oDZ78JiSKjXVLcurCpnhw
47,Food,kiAsweI4sOjDzGyz3Y_HsQ
48,Ice Cream & Frozen Yogurt,kiAsweI4sOjDzGyz3Y_HsQ
49,Burgers,kiAsweI4sOjDzGyz3Y_HsQ
50,Italian,q8fD82us6uuGufvI44NoAg
51,American (New),Nj0vQjUYjaa7qbvZlEr2jQ
52,Bakeries,B0Vuwn6Hugc-0U5n31YBfg
53,Food,B0Vuwn6Hugc-0U5n31YBfg
54,American (Traditional),B0Vuwn6Hugc-0U5n31YBfg
55,Donuts,B0Vuwn6Hugc-0U5n31YBfg
56,Burgers,3zD6rxB92Mr0jb-LoYFFWw
57,Sandwiches,OC8AUJshLVimn_-P_INvJw
58,Pizza,OC8AUJshLVimn_-P_INvJw
59,Chicken Wings,OC8AUJshLVimn_-P_INvJw
60,Chinese,2pmMehsVKnwhgWPSOxrkjA
61,Chinese,NDAxF0_RCZBQedVO_d5WnA
62,Delis,eptljN50_4BpIwc2Op_A_A
63,Chinese,5uxhIGZlJm9g_zfG_83z5Q
64,Diners,yV-eB-pQVeWE7W-WPC8BUg
65,Fast Food,unMqU0OrlniCOKZIoQHb0A
66,Food,RIsEPpt2jM7c_Ko_CyLwMw
67,Ice Cream & Frozen Yogurt,RIsEPpt2jM7c_Ko_CyLwMw
68,Fast Food,RIsEPpt2jM7c_Ko_CyLwMw
69,American (Traditional),O_Pu4mKGOqQVlmH07Zbnhg
70,Burgers,HGzdDbukK8RJEc623kLz5Q
71,Fast Food,HGzdDbukK8RJEc623kLz5Q
72,Chinese,oX6KamASYXnMIe5kpVhezw
73,Mexican,S4TWo9X6b3gU6uucj4JN3g
74,Chinese,xZwaUcrFMSY1O9dK2dAUpA
75,Delis,89O2bCyo92IpEEvgFXqOMw
76,Caterers,89O2bCyo92IpEEvgFXqOMw
77,Sandwiches,89O2bCyo92IpEEvgFXqOMw
78,Event Planning & Services,89O2bCyo92IpEEvgFXqOMw
79,Fast Food,XWDk-pLSbVE2Vvv9Z-zusQ
80,Burgers,1hBOR97oX5Xph3J8Tdob7w
81,American (Traditional),1hBOR97oX5Xph3J8Tdob7w
82,Italian,ybkWtM1ZnT2ewuquj3A9KQ
83,Pizza,jo-BEjs7UYovOAupDAN_yw
84,Burgers,lNE3gOMb724YPlZAA8WlXQ
85,Fast Food,lNE3gOMb724YPlZAA8WlXQ
86,Sandwiches,cpGv6ES2hzPCtCUQgipwXw
87,Cajun/Creole,cpGv6ES2hzPCtCUQgipwXw
88,Seafood,cpGv6ES2hzPCtCUQgipwXw
89,Mexican,wPidHd5FxspPRgVqdEQ-Xw
90,American (New),yYIEKwgQUHJpySOcVdCAkg
91,Chinese,pSiRWeCqs7a1xvS9ycLoTQ
92,Breakfast & Brunch,QF14BFUVHRODxGNVflgm3A
93,American (New),11yg-JMNCFowyIjJarzuDQ
94,Food,q83uB6EGF6y2MuR-7VZPRg
95,Ice Cream & Frozen Yogurt,q83uB6EGF6y2MuR-7VZPRg
96,Fast Food,q83uB6EGF6y2MuR-7VZPRg
97,Bars,oudTF4EN_C8thENGiTQf-w
98,American (New),oudTF4EN_C8thENGiTQf-w
99,Nightlife,oudTF4EN_C8thENGiTQf-w
100,Food,ZjwZIQM4TfFO7T7ck7FtYQ
101,"Beer, Wine & Spirits",ZjwZIQM4TfFO7T7ck7FtYQ
102,Grocery,ZjwZIQM4TfFO7T7ck7FtYQ
103,Delis,ZjwZIQM4TfFO7T7ck7FtYQ
104,Dive Bars,MVFeOZVt641WBvdsRmnhPg
105,Bars,MVFeOZVt641WBvdsRmnhPg
106,American (Traditional),MVFeOZVt641WBvdsRmnhPg
107,Nightlife,MVFeOZVt641WBvdsRmnhPg
108,Japanese,9vgu6o1CwP5NakVkb29z0g
109,American (New),JdCFcgw4yk4M1ZRhAhBIag
110,Burgers,311yXufoXR2dFngMHS9MFg
111,Fast Food,QB64-PgfEUzbrOL50bJ0Bw
112,Fast Food,rgyvl8tNVAony634_9vFdQ
113,Mexican,rgyvl8tNVAony634_9vFdQ
114,Tex-Mex,rgyvl8tNVAony634_9vFdQ
115,Seafood,v5a-Mj4eO1E--HmgwEWo7A
116,American (Traditional),v5a-Mj4eO1E--HmgwEWo7A
117,Pubs,HTplzElel_F_U_qhWuDKdg
118,Bars,HTplzElel_F_U_qhWuDKdg
119,American (New),HTplzElel_F_U_qhWuDKdg
120,Nightlife,HTplzElel_F_U_qhWuDKdg
121,Breakfast & Brunch,O5lo-GKCG3cX8X4bh_DR_A
122,American (New),O5lo-GKCG3cX8X4bh_DR_A
123,Buffets,O5lo-GKCG3cX8X4bh_DR_A
124,Fast Food,0oQFFOdPZycIBmGkoBrlbg
125,Dive Bars,QdSGdvZATzejDkSs435Rdw
126,Burgers,QdSGdvZATzejDkSs435Rdw
127,Bars,QdSGdvZATzejDkSs435Rdw
128,Nightlife,QdSGdvZATzejDkSs435Rdw
129,Breakfast & Brunch,1YEuqVtVMHdpavzoGcUUug
130,Pizza,7uoxZ35biPZfl8m5w2_XRA
131,Chinese,uzJ2Vefb951El2oneQI8NQ
132,Cafes,JPFzpR5PvZWqHXQMIZFk2w
133,Sandwiches,JPFzpR5PvZWqHXQMIZFk2w
134,American (Traditional),fjaQ3Ixkofh8xGhklUtDnA
135,Diners,fjaQ3Ixkofh8xGhklUtDnA
136,Bakeries,Ryq600aoE3h8_qRQGIed9A
137,Lebanese,Ryq600aoE3h8_qRQGIed9A
138,Food,Ryq600aoE3h8_qRQGIed9A
139,Mediterranean,Ryq600aoE3h8_qRQGIed9A
140,Middle Eastern,Ryq600aoE3h8_qRQGIed9A
141,Pizza,jqOPL979k-t_Vc049CnAjg
142,American (Traditional),nE51k932dNFc-gClgPguVw
143,Caterers,xMyTUliefguc3bfetGebJg
144,Pizza,xMyTUliefguc3bfetGebJg
145,Event Planning & Services,xMyTUliefguc3bfetGebJg
146,Indian,jqo3Ljexof9sA8PhSTwEjA
147,Steakhouses,68JsiWNLKs8NDCrBCxIWMA
148,Italian,PhdMPqSdLZi6IV8SdnpUAQ
149,Chinese,eC4iEcRR3p5NLq9Zf80ZGg
150,Burgers,-4PHmmCt_RmAfaE3sDKW_g
151,American (New),-4PHmmCt_RmAfaE3sDKW_g
152,Bars,JJFoeKZXgi2_LeECDMkkoQ
153,American (New),JJFoeKZXgi2_LeECDMkkoQ
154,Nightlife,JJFoeKZXgi2_LeECDMkkoQ
155,Dive Bars,KHOHjA8HOcTlFBCtMQFv8A
156,Bars,KHOHjA8HOcTlFBCtMQFv8A
157,American (Traditional),KHOHjA8HOcTlFBCtMQFv8A
158,Nightlife,KHOHjA8HOcTlFBCtMQFv8A
159,Bars,ykxf0XiJt-d76dBwfO_yew
160,American (Traditional),ykxf0XiJt-d76dBwfO_yew
161,Sports Bars,ykxf0XiJt-d76dBwfO_yew
162,Nightlife,ykxf0XiJt-d76dBwfO_yew
163,Barbeque,HLWtNcf3l-wKb6v9duteMQ
164,Pizza,XIZ259hZ6Yww3C0o97MgUQ
165,Greek,Pa_brCvUaiUPPvm3tJQwgw
166,Diners,j515klfbCAEF3KPiKvHz9g
167,Soup,S2x-rEziU3ONR9zO_vpPxA
168,Sandwiches,S2x-rEziU3ONR9zO_vpPxA
169,Salad,S2x-rEziU3ONR9zO_vpPxA
170,Breakfast & Brunch,MONajnUQ5-IRtv8PSPn_yA
171,Cafes,MONajnUQ5-IRtv8PSPn_yA
172,Food,Jb5SB2OXbRW0e7ErGlMK-Q
173,Ice Cream & Frozen Yogurt,Jb5SB2OXbRW0e7ErGlMK-Q
174,Burgers,Jb5SB2OXbRW0e7ErGlMK-Q
175,Pizza,pHBQ-dQRwN3z7Rq7iSog-A
176,Pizza,brkJrGv2Eaj9NTl9g2RMgA
177,Barbeque,spiYqne1kXzYQxDTZfKt2g
178,Hot Dogs,UyEbMXjDTNGks_k12fGNdg
179,Pizza,Hld3cjWyfPpW5hDcgXfNQA
180,Italian,Hld3cjWyfPpW5hDcgXfNQA
181,Burgers,8AGIIxZ-BBHbEGsgmhOOwA
182,Bars,cRqZ_w9ImfYYIXTHpJMv0Q
183,American (Traditional),cRqZ_w9ImfYYIXTHpJMv0Q
184,Nightlife,cRqZ_w9ImfYYIXTHpJMv0Q
185,Bars,kOXJrbuB1a1Na6sf_WQnDg
186,American (Traditional),kOXJrbuB1a1Na6sf_WQnDg
187,Nightlife,kOXJrbuB1a1Na6sf_WQnDg
188,Pizza,I8Bx7iuHWz6d2TQDfKfjqA
189,Delis,ki33_SvM4kPjgA44Re8-zQ
190,Italian,ki33_SvM4kPjgA44Re8-zQ
191,Food,LWmlH8MwUnwMWN5Ma8utnQ
192,Specialty Food,LWmlH8MwUnwMWN5Ma8utnQ
193,Delis,LWmlH8MwUnwMWN5Ma8utnQ
194,Meat Shops,LWmlH8MwUnwMWN5Ma8utnQ
195,Fast Food,cCStad4wX3ADPbz5AHCn9g
196,Chicken Wings,cCStad4wX3ADPbz5AHCn9g
